published,review_title,product_title,review_content,review_score,date,product_id
True,Smells clean,Eucalyptus Greek Yogurt,"Subtle clean smell. Doesn't dry out my skin, so far I have liked every scent I've tried!",5,2013-06-27 04:00:00+00:00,109191328
True,Great!,Bay Rum,Very happy!,5,2013-06-29 04:00:00+00:00,109190870
True,Best soap ever..,Deep Sea Goat's Milk,So thrilled that we discovered this soap. Sasquatch soap liberates you from the need to hop out of the shower and moisturize right away.  It is truly the best soap we have ever used and it smells delicious!!,5,2013-07-01 04:00:00+00:00,109191474
True,Great scent; high quality,Pine Tar,Pine Tar has a great scent and is a high quality product.  Would definitely recommend.  ,5,2013-07-02 04:00:00+00:00,109191256
True,Great Soap,Spearmint Basil Scrub,"This soap is awesome.  It lathers well, feels hefty in the hand, and leaves you feeling clean and refreshed without the tight, dry feeling I always get from other bar soaps.  ",5,2013-07-02 04:00:00+00:00,109191130
True,Squatchy!,Gold Moss Scrub,"So I tried the Gold Moss Scrub, and really like it! Just ordered 3 more. Long lasting, smells good without being overly aromatic, and just works!",5,2013-07-04 04:00:00+00:00,109191402
True,Perfect!,Gold Moss Scrub,"Excellent smell!  It leaves my skin smelling awesome,but not so powerful it competes with cologne.  This was my first experience with ""boutique"" soap and I am hooked!  Exfoliant a little too mild for my liking, but it is listed as ""gentle"".  Bar is currently on track to last me about a month of 1 shower a day use.",5,2013-07-07 04:00:00+00:00,109191402
True,Great!,Deep Sea Goat's Milk,I loved it! this didn't fail to impress,5,2013-07-13 04:00:00+00:00,109191474
True,Excellent product.,Pine Tar,"I love the smell, I love the bits of grain in the bar that do an amazing job exfoliating, lathers up great, my only complaint is the scent doesn't last as long as I would like. ",4,2013-07-13 04:00:00+00:00,109191256
True,Great Stuff,Gift Box,"The scents are fantastic and the soap leaves my skin feeling clear but not dry. Great product, even if a bit pricey. Would definitely think about a subscription",5,2013-07-15 04:00:00+00:00,110663055
False,Still waiting,Gold Moss Scrub,"Love the soap, still waiting to receive it. Will review again once I get the shipment. ",1,2013-07-21 04:00:00+00:00,109191402
True,SQUATCHTASTIC,Cool Fresh Aloe,Best soap ever.,5,2013-07-23 04:00:00+00:00,109191428
True,Sasquatch FTW,Pine Tar,I ordered three bars of the pine tar and love it. Can't recommend it enough. My epidermis is thanking me. ,5,2013-07-24 04:00:00+00:00,109191256
True,Smells great,Pine Tar,"My fiancee likes the smell of this soap, and so do I. I like the exfoliating aspect of it, though it's a bit too rough for every day use. I supplement with other soap. Still, Pine Tar is my favorite go-to soap.",4,2013-07-28 04:00:00+00:00,109191256
True,Best soap ever,Gold Moss Scrub,Love it! ,5,2013-07-30 04:00:00+00:00,109191402
True,MmmMMmmMMmmm,Cool Fresh Aloe,Smells so fresh! Love it!!,5,2013-07-31 04:00:00+00:00,109191428
True,Great Soap,Deep Sea Goat's Milk,Exceeded expectations. Great soap that does what it needs to without losing the fact that you still wanted a real bar of soap. ,5,2013-08-06 04:00:00+00:00,109191474
True,Sasquatch is the real thing.,Dr. Squatch Soap Co.,"I don""t know if Bigfoot is for real, but Sasquatch Soap is a real natural soap for real men. The smell of pine tar soap in the morning is like the smell of cleanness and healthy skin. It bring out the beast in me. Long live Sasquatch Soap.",5,2013-08-08 04:00:00+00:00,yotpo_site_reviews
True,Smooth like butter,Cool Fresh Aloe,If I had to describe this soap in one word: Creamy. This soap is how I imagine buttermilk would feel if it made you clean instead of tasting good. Bonus: It has a very mild scent and is so nice even the lady sasquatch digs it. ,5,2013-08-08 04:00:00+00:00,109191428
True,The BEST soap ever!!!!,Pine Tar,This is a very high quality soap ..... Nice clean scent and exfoliates. I would highly recommend trying.,5,2013-08-13 04:00:00+00:00,109191256
True,The  Squatch soap ,Gift Box,I love the stuff..,5,2013-08-16 04:00:00+00:00,110663055
True,I like the soap but,Gift Box,I like the soap but my cigar box came broken.  I wrote an email asking for assistance and didn't get a response.,2,2013-08-20 04:00:00+00:00,110663055
True,So Fresh,Gold Moss Scrub,"I love the product! Keeps me smelling fresh longer than other soaps, and the scents are amazing! ",4,2013-08-21 04:00:00+00:00,109191402
True,I love the smell of,Pine Tar,"I love the smell of this soap. Highly suggest you try it, if you haven't already. ",5,2013-08-23 04:00:00+00:00,109191256
True,Great Soap.,Gold Moss Scrub,Love the soap. It makes me look forward to showering instead of just another thing to cross off my to do list.,5,2013-08-26 04:00:00+00:00,109191402
True,smells great,Pine Tar,"but my husband came out of the shower with a cut under his arm. apparently some of the exfoliating stuff was too big and ripped him right open. Sand that stuff down, guys!",4,2013-08-27 04:00:00+00:00,109191256
True,Great Smelling soap,Spearmint Basil Scrub,Great Smelling soap; it also leaves my skin feeling nice and refreshed.,5,2013-08-28 04:00:00+00:00,109191130
True,Clean as a whistle!,Soap Saver,The soap is amazing. ,5,2013-08-29 04:00:00+00:00,113623428
True,Love it!!!,Pine Tar,The sample didn't do the trick!! I had buy more!! Love it,5,2013-08-30 04:00:00+00:00,109191256
True,Fricken Awesome,Gift Box,The squatch is the only soap i use.  I'm using the rum now but also had a sample of pine tar from birchbox.  Both are great and I have 3 different bars that I can't wait to use,5,2013-08-30 04:00:00+00:00,110663055
True,Woodsy,Pine Tar,"Smells great. Woodsy and manly. The only downside is that it's slightly abrasive on the skin. Maybe after a few more uses my skin will ""man up"" and be able to handle the exfoliation. I will purchase again. ",4,2013-08-31 04:00:00+00:00,109191256
True,"Just buy it, you won't regret it",Cool Fresh Aloe,You won't need another soap after smelling this wonderful scent.,5,2013-09-02 04:00:00+00:00,109191428
True,Amazing gift! Couldn't be happier!,Gift Box,"The cigar box and packaging was gorgeous, but ya know, in a rough and stuff, manly kind of way. The soaps smell rugged and outdoorsy in the best way possible and my boyfriend always says it never leaves his skin feeling dry. I would buy this gift set again in a heart beat. ",5,2013-09-06 04:00:00+00:00,110663055
False,testing,Cool Fresh Aloe,testing,5,2013-09-08 04:00:00+00:00,152703295
True,This Is A Great Soap,Bay Rum,This is probably my favorite soap of the bunch.  The scent is great and not overpowering.  Great lather.,5,2013-09-10 04:00:00+00:00,109190870
True,great soap!,Bay Rum,"There isn't too much to say. The soap smells great, the price is reasonable, the shipping was fast. Thank you!",5,2013-09-17 04:00:00+00:00,109190870
True,Mmm,Gift Box,Made my room smell good just sitting in the box,5,2013-09-19 04:00:00+00:00,110663055
True,Finally one soap!,Soap Saver,"Hair, body, face no drying. No more shampoos and conditions. Bought the golden moss and bay rum. So far the moss scent is my favorite. Well played, great product!",5,2013-09-19 04:00:00+00:00,113623428
True,Best. Soap. Ever.,Gift Box,Love this soap...and it makes a great gift.  Sent gift boxes to two of my brothers--both of whom were ecstatic.  ,5,2013-09-23 04:00:00+00:00,110663055
True,Suitable for a Madrone,Pine Tar,"Pine is an evergreen, and its tar smell is suitable for all evergreens, even the madrone. Cleans 'em up real well, too.",5,2013-09-29 04:00:00+00:00,109191256
True,Best scent,Gold Moss Scrub,Definitely will be buying this scent again.,5,2013-09-30 04:00:00+00:00,109191402
True,Squatch Saver ,Soap Saver,I bought the soap saver to save my soap.  It is saving my soap this very instant.  It is smaller than it appears in the pictures.  There is a faint pine smell that reminds me of pine trees.  My beef with the triple S is that the soap sticks to it when it dries. This might stop after a while. I will continue to use the soap saver despite all of this. I really like the soap.  I think it softens my skin and leaves me with the perfect amount of moisture. ,3,2013-10-03 04:00:00+00:00,113623428
True,I don't stink anymore!,Gold Moss Scrub,"My bathroom actually smells amazing all the time now, because of this fragrant soap. ",5,2013-10-05 04:00:00+00:00,109191402
True,Awesome and refreshing,Gold Moss Scrub,This soap is great! It smells awesome and leaves my skin feeling refreshed. I received it in Bespoke's Box of Awesome and will buy it again for sure.,5,2013-10-16 04:00:00+00:00,109191402
True,Great stuff!,Gift Box,"I picked up the gift box. I can't think of a product I've been as please with the presentation of. The cigar box was great, Rocky Patel ""the edge""(a personal favorite too). The soaps smell great, work great, look great. I mean its just soap, but this is some pretty freaking awesome soap. Will definitely be buying some more of these boxes for friends as gifts, can't think of a single guy who wouldn't like it. Also the Pinetar soap? Yeah, epically good.",5,2013-10-16 04:00:00+00:00,110663055
True,Amazing!,Pine Tar,"Strong smell and rough exfoliants.  Perfect for the manly man.  Smells like a walk through the woods, except it gets you nice and clean.  

Also if you have psoriasis or eczema, this will help your skin out a lot!",5,2013-10-21 04:00:00+00:00,109191256
True,Handy just pretty over priced,Soap Saver,"Its handy to have, but is basically a routered section of 2x4. For some reason I thought it would be different. Pretty over priced for what it is. I do still love the soaps and packaging, but $6 for a $0.50 piece of pine that got run through a routing table for 20 seconds? Ouch.",3,2013-10-21 04:00:00+00:00,113623428
True,Smaller than expected,Soap Saver,It was smaller than the bar of soap and pretty light. I was expecting it to have more weight and to be bigger than the soaps. I think it will do it's job just fine though.,3,2013-10-21 04:00:00+00:00,113623428
True,Great,Pine Tar,Pine tar is my new faverite soap. Smells great and makes my skin feel awesome. I wanted to try it before I went hunting ( I usually use scent blocking soap) and it worked great. Don't have to worry about covering up my scent anymore.,5,2013-10-25 04:00:00+00:00,109191256
True,Faverite soap,Pine Tar,"Pine tar is my faverite soap, it smells great and makes my skin feel awesome. I wanted to try it before I went hunting ( I usually use scent blocking soap) and it worked great. Don't have to worry about covering up my scent anymore.",5,2013-10-25 04:00:00+00:00,109191256
True,Old Moss Soap ,Gold Moss Scrub,I love this soap. Smells great without being obnoxious.,5,2013-10-29 04:00:00+00:00,109191402
True,The soaps great,Gold Moss Scrub,The shipping took a little but everything was perfect the soap was great my friends even complmented how nice it smelt,5,2013-11-05 04:00:00+00:00,109191402
True,Great Soap,Gift Box,Sasquatch Soap is amazing. The smell and texture are great.,5,2013-11-05 04:00:00+00:00,110663055
True,Loved it,Pine Tar,Thevsoap was more than expected,5,2013-11-06 04:00:00+00:00,109191256
True,AWSOME,Pine Tar,"Love the scent, gets me clean without leaving any residue.",5,2013-11-06 04:00:00+00:00,109191256
True,Commander 68,Bay Rum,An excellent soap with a refreshing scent without overpowering the senses. It suds well and may now be my favorite soap. The overall all quality is way ahead of the competition. Thanks for a great product. ,5,2013-11-06 04:00:00+00:00,109190870
True,Amazing soap,Gift Box,Loved soaps but the only thing that it doesn't last long. I would like to see them last more then a week. But overall nice product. I was woundering if you have any more products like the pine tar which exfoliates great. ,5,2013-11-07 04:00:00+00:00,110663055
True,squatch-tastic,SoapScription - Fresh to Death,This soapscription is great all the soap I need plus extra to share with my friends and even my lady uses the aloa. This soap is amazing!,5,2013-11-07 04:00:00+00:00,151498301
True,Life. Changed. ,Pine Tar,"I like everything about this soap! The smell is pleasant, and the pine tar helps especially with the dry skin under my beard. The oatmeal provides an excellent exfoliant, and it does not dry out my skin at all! Thank you Sasquatch for your awesome customer service and craftsmanship!",5,2013-11-11 04:00:00+00:00,109191256
True,Good stuff,Cedar Citrus,"Good, it has a great scent and gets me clean as a regular bar of soap.  It is nice ",5,2013-11-11 04:00:00+00:00,154635089
True,Squatch Soap,Cedar Citrus,I bought them for gifts. ,5,2013-11-15 04:00:00+00:00,154635089
True,Evan,Gift Box,My skin has never fault softer and women have never stopped to smell me so frequently or seductively as they do now that I use Sasquatch Soap.,5,2013-11-15 04:00:00+00:00,110663055
True,EXCELLENCE,Gift Box,The products are great and smell amazing. Even better was the customer service and prompt shipping of the products that I ordered!,5,2013-11-18 04:00:00+00:00,110663055
True,AWESOME SOAP,Pine Tar,It smells like a pine forest and the scent stays on you for at least 12 hours. I can shove my nose onto my arm and still smell the awesomeness. The oatmeal feels like a loofa on your skin and scrubs away all the dirt. ,5,2013-11-22 04:00:00+00:00,109191256
True,Great Gifts!,Gift Box,The Sasquatch gift boxes are the greatest items for the Holidays.  Attractively boxed and sjuper presentation. p[acke,5,2013-11-24 04:00:00+00:00,110663055
